 country_name,iso,occurrence2000to2016,Total deaths,Total affected,Population,Deaths/Population,Affected/Population,Total damage -000USD,GDP -000000USD,Damage/GDP,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire
Spain,ESP,37,15297,27406,46418269,0.000329547,0.000590414,7075285,"1,199,057",0.005900708,0,0,1,2,4,15,0,0,0,0,8,0,7
Sri Lanka,LKA,47,37220,14188124,20966000,0.001775255,0.676720595,4039750,"82,316",0.049076121,0,3,1,4,0,31,0,0,3,0,5,0,0
Sudan,SDN,46,3473,8623810,40234882,8.63181E-05,0.214336654,493000,"97,156",0.005074313,0,3,0,21,1,18,0,1,0,0,2,0,0
Suriname,SUR,2,5,31548,542975,9.20853E-06,0.058102123,,"5,150",0,0,0,0,0,0,2,0,0,0,0,0,0,0
Swaziland,SWZ,10,46,2015534,1286970,3.57429E-05,1.56610799,50,"4,118",1.21418E-05,0,3,0,1,0,3,0,0,0,0,2,0,1
Sweden,SWE,6,15,350,9798871,1.53079E-06,3.57184E-05,2800000,"495,624",0.005649444,0,0,0,2,1,0,0,0,0,0,3,0,0
Switzerland,CHE,24,1081,7479,8286976,0.000130446,0.000902501,4609000,"670,790",0.006871003,0,0,0,1,6,3,0,0,3,0,11,0,0
Syria,SYR,7,131,1303875,18502413,7.08016E-06,0.070470538,,"34,184",0,0,1,0,0,0,1,0,0,1,0,4,0,0
Taiwan,TWN,55,1457,3018707,23520000,6.19473E-05,0.128346386,4449290,"1,125,000",0.003954924,0,0,6,1,1,3,0,0,0,0,44,0,0
Tajikistan,TJK,48,297,6373431,8481855,3.50159E-05,0.751419471,1257930,"7,853",0.160184643,0,2,11,2,3,21,0,0,8,0,1,0,0
Tanzania,TZA,54,799,7307477,53470420,1.49428E-05,0.136663916,458000,"45,628",0.010037696,0,4,6,17,0,21,0,1,1,0,4,0,0
Thailand,THA,79,10884,60538222,67959359,0.000160155,0.890800368,43401613,"395,168",0.109830788,0,6,3,6,2,46,0,0,2,0,13,0,1
The Gambia,GMB,17,43,565491,1990924,2.1598E-05,0.284034448,,939,0,0,3,0,2,0,7,0,1,0,0,4,0,0
Timor-Leste,TLS,11,29,135771,1245015,2.32929E-05,0.109051698,4000,"1,442",0.002773925,0,2,1,2,0,5,0,0,0,0,1,0,0
Togo,TGO,14,536,303960,7304578,7.33786E-05,0.04161226,,"4,088",0,0,0,0,8,0,6,0,0,0,0,0,0,0
Tonga,TON,9,10,21413,106170,9.41886E-05,0.201685975,94800,435,0.217931034,0,1,1,0,0,0,0,0,0,0,7,0,0
Trinidad and Tobago,TTO,4,3,1760,1360088,2.20574E-06,0.001294034,1000,"23,559",4.24466E-05,0,1,0,0,0,0,0,0,1,0,2,0,0
Tunisia,TUN,5,45,33508,11107800,4.05121E-06,0.003016619,,"43,015",0,0,0,0,0,0,5,0,0,0,0,0,0,0
Turkey,TUR,63,1388,826240,78665830,1.76443E-05,0.010503163,2907000,"717,880",0.004049423,0,0,20,2,5,22,0,0,6,0,5,0,3
Turkmenistan,TKM,1,11,,5373502,2.04708E-06,0,,"35,855",0,0,0,1,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,TCA,4,4,1700,34339,0.000116486,0.049506392,500000,632,0.791139241,0,0,0,0,0,0,0,0,0,0,4,0,0
Uganda,UGA,54,1650,4198471,39032383,4.22726E-05,0.107563789,3171,"27,529",0.000115188,0,4,1,24,0,17,0,0,4,0,4,0,0
Ukraine,UKR,21,1098,784472,45198200,2.4293E-05,0.017356266,3056755,"90,615",0.033733433,0,1,0,0,6,9,0,0,0,0,5,0,0
United Kingdom,GBR,48,1186,499429,65138232,1.82074E-05,0.007667218,26426700,"2,858,003",0.009246561,0,0,1,2,6,23,0,0,0,0,16,0,0
United States,USA,400,6509,22111854,321418820,2.02508E-05,0.068794522,593925760,"18,036,648",0.032928832,0,9,8,3,13,83,0,0,2,0,228,0,54
United States Virgin Islands,VIR,1,,,103574,0,0,,"3,792",0,0,0,0,0,0,0,0,0,0,0,1,0,0
Uruguay,URY,18,33,179643,3431555,9.61663E-06,0.052350319,70000,"53,443",0.001309807,0,0,0,0,4,11,0,0,0,0,3,0,0
Uzbekistan,UZB,3,13,601500,31299500,4.15342E-07,0.019217559,50000,"66,733",0.000749254,0,1,1,0,0,1,0,0,0,0,0,0,0
Vanuatu,VUT,16,27,318668,264652,0.000102021,1.204101991,449400,742,0.605660377,0,0,2,0,0,2,0,0,0,0,7,5,0
Venezuela,VEN,22,231,291075,31108083,7.42572E-06,0.009356893,333000,509968,0.000652982,0,1,0,1,0,18,0,0,0,0,2,0,0
Vietnam,VNM,122,4402,31912972,91703800,4.80024E-05,0.348000541,9112294,"193,599",0.047067877,0,3,0,5,0,57,0,0,4,0,52,0,1
Wallis and Futuna Islands,WLF,1,,1252,"15,500",0,0.080774194,,"12,677",0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yemen,YEM,29,617,234122,26832215,2.29947E-05,0.008725407,500000,"37,734",0.013250649,0,0,0,3,0,18,0,0,3,0,4,1,0
